sid,family,instance_type,naive_mae,naive_mase,snaive_mae,snaive_mase,gbm_mae,gbm_mase,gbm_vs_naive_pct
p3.2xlarge@ap-southeast-2b,gpu,p3.2xlarge,0.04556907738095238,0.3118044164698768,0.14362065476190478,0.9827180409357111,0.04068230358274677,0.2783668807517038,10.723881366639777
p3.2xlarge@ap-southeast-2c,gpu,p3.2xlarge,0.044521250000000005,0.39435955107380194,0.17175482142857143,1.5213668590466898,0.04028371454303102,0.35682438347474293,9.518006473243634
p3.2xlarge@eu-west-1a,gpu,p3.2xlarge,0.03571642857142857,0.27267111245793135,0.10813505952380954,0.8255390629859505,0.03429757081023813,0.2618390797033223,3.9725633775305913
p3.2xlarge@eu-west-1b,gpu,p3.2xlarge,0.03878500000000001,0.30093163240054294,0.14232696428571429,1.10431057617929,0.035555965624548526,0.2758776531384034,8.32547215534738
p3.2xlarge@us-east-1a,gpu,p3.2xlarge,0.03439592261904762,0.32712094799331054,0.10106732142857142,0.9611964290950696,0.03181879135183278,0.30261125152226226,7.492548741192051
p3.2xlarge@us-east-1b,gpu,p3.2xlarge,0.03360178571428571,0.28922860635331027,0.10679312500000002,0.9192257511103962,0.03171245334343092,0.2729661084846864,5.62271418227499
p3.2xlarge@us-east-1c,gpu,p3.2xlarge,0.04273910714285714,0.35179557665916117,0.1168358630952381,0.9617032872182826,0.03948579198724396,0.3250167794934322,7.612033505376825
p3.2xlarge@us-west-2a,gpu,p3.2xlarge,0.03614383928571428,0.28466120227436,0.14509095238095238,1.1427055276946791,0.03411114475007161,0.2686521317990697,5.623903204013214
p3.2xlarge@us-west-2b,gpu,p3.2xlarge,0.041191011904761904,0.4230639654614745,0.11592336309523808,1.1906237650605553,0.03703933605375537,0.3804230016294009,10.07908196236028
p3.2xlarge@us-west-2c,gpu,p3.2xlarge,0.04266824404761905,0.3281852007351516,0.1515821726190476,1.165902812717893,0.03658349242776756,0.2813839911621523,14.260609396207457
r5.large@ap-southeast-2a,memory,r5.large,0.000876547619047619,0.2879980349013618,0.0031870535714285716,1.0471366823106183,0.0006800348966574105,0.22343191590033312,22.41894429006861
r5.large@ap-southeast-2b,memory,r5.large,0.0007076488095238096,0.33385522540458024,0.0025352976190476193,1.196105111297244,0.0006087850488499742,0.28721318678330665,13.970737934309918
r5.large@ap-southeast-2c,memory,r5.large,0.0008623809523809525,0.32410318328622617,0.0032821726190476186,1.2335181928488508,0.0006544169218895617,0.24594537599096583,24.115100167416937
r5.large@eu-west-1a,memory,r5.large,0.0006001785714285717,0.28023538697849026,0.001760982142857143,0.8222378068099913,0.0004992995133660814,0.23313293577487879,16.80817391103675
r5.large@eu-west-1b,memory,r5.large,0.0012686011904761907,0.49268935684649234,0.003018303571428571,1.1722250117205164,0.001064699649748141,0.4134996794951711,16.072942565307834
r5.large@us-east-1a,memory,r5.large,0.0006812499999999998,0.2572583030707357,0.002140535714285714,0.8083237952579057,0.000531899313231256,0.2008594711579636,21.92303658990734
r5.large@us-east-1b,memory,r5.large,0.0007372916666666667,0.29633049237138076,0.0027372023809523805,1.1001297938641217,0.0005847520743688097,0.2350221465221529,20.689178949695208
r5.large@us-east-1c,memory,r5.large,0.0007139583333333334,0.2641567026583707,0.0020233630952380954,0.74862201134809,0.0005643490304603346,0.2088029119834496,20.954906734473134
r5.large@us-west-2a,memory,r5.large,0.0009343749999999999,0.3916857245327135,0.0030237499999999995,1.2675421640730888,0.0007636373398757148,0.3201132786616223,18.2729268360439
r5.large@us-west-2b,memory,r5.large,0.0007479464285714283,0.30227996385775185,0.002269672619047619,0.9172803439479535,0.000563355846790572,0.2276783182615927,24.67965281061946
r5.large@us-west-2c,memory,r5.large,0.0012599702380952382,0.441697034750659,0.004078333333333333,1.4297065800390292,0.0009692452476156393,0.3397800510472344,23.07395696259483
r5.xlarge@ap-southeast-2a,memory,r5.xlarge,0.002442321428571428,0.3244110563466844,0.006783482142857143,0.9010429921013144,0.002107321955939192,0.279913419172132,13.716436694746804
r5.xlarge@ap-southeast-2b,memory,r5.xlarge,0.0016651190476190477,0.2773993780214227,0.0040740773809523805,0.6787181571812134,0.001421853268257631,0.23687268055480867,14.60951273779868
r5.xlarge@ap-southeast-2c,memory,r5.xlarge,0.001630059523809524,0.24970997108586193,0.004900238095238095,0.7506709388231694,0.0013357380435383604,0.2046226554050829,18.055873173472882
r5.xlarge@eu-west-1a,memory,r5.xlarge,0.0016835416666666667,0.24908372369430112,0.005837023809523809,0.8636006191917744,0.0014477477946958455,0.214197497343232,14.00582335676206
r5.xlarge@eu-west-1b,memory,r5.xlarge,0.0018426190476190476,0.30278871576346716,0.005992589285714286,0.984733342610316,0.0015966870774237164,0.26237589927986216,13.346870071332095
r5.xlarge@us-east-1a,memory,r5.xlarge,0.0017922916666666664,0.34964116025213066,0.006570565476190478,1.2817892195417409,0.001542694472900548,0.3009496140896879,13.926148205014155
r5.xlarge@us-east-1b,memory,r5.xlarge,0.002051875,0.38831279293979604,0.005854791666666666,1.1080063376979479,0.0017104168590333254,0.3236925970746483,16.64127400385864
r5.xlarge@us-east-1c,memory,r5.xlarge,0.0019422023809523808,0.508685913172464,0.00572407738095238,1.4992039749080086,0.0015451814837282372,0.40470141617376215,20.441788204865652
r5.xlarge@us-west-2a,memory,r5.xlarge,0.0016689880952380947,0.30253560638757004,0.005496458333333333,0.9963368580060423,0.001402142880164848,0.2541648725374347,15.988443286959397
